% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 10,000 x probe attenuation
% Time span 5.000 s, time offset 0.000 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-01-29 T 09:37:09 -0500
% Time (s), Channel A (V), Channel B (V)
-2.7388263680e+00, 1.3366543872e-02, -2.9669138101e-03
-2.7384762240e+00, 1.3918762784e-02, -2.7324091390e-03
-2.7381260800e+00, 1.3442721620e-02, -1.8437804198e-03
-2.7377759360e+00, 1.3737108155e-02, -3.1028059743e-03
-2.7374257920e+00, 1.2385162410e-02, -2.2572609310e-03
-2.7370756480e+00, 1.2916174330e-02, -2.0710858756e-03
-2.7367255040e+00, 1.4440845445e-02, -1.9237530980e-03
-2.7363753600e+00, 1.4831500562e-02, -1.9236414822e-03
-2.7360252160e+00, 1.4268120075e-02, -1.5266242927e-03
-2.7356750720e+00, 1.4081442737e-02, -2.0638308525e-03
-2.7353249280e+00, 1.3313247353e-02, -1.4728255057e-03
-2.7349747840e+00, 1.2996537669e-02, -1.2906128091e-03
-2.7346246400e+00, 1.2958588314e-02, -1.4337599965e-03
-2.7342744960e+00, 1.2911988740e-02, -3.0956067591e-03
-2.7339243520e+00, 1.3883603824e-02, -3.8487897770e-03
-2.7335742080e+00, 1.4482422311e-02, -3.1927124534e-03
-2.7332240640e+00, 1.3749943966e-02, -1.6265203806e-03
-2.7328739200e+00, 1.3825005556e-02, -1.0224001844e-03
-2.7325237760e+00, 1.3402539951e-02, -2.2987261787e-04
